geoUnit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Argentina,,9.51768970489502,7.969880104064941,11.42971038818359,11.9284496307373,,13.34195995330811,11.24059009552002,11.75566005706787,12.22733974456787,,,,,,,,,7.776169776916504,19.08396911621094,16.98501968383789,12.73134994506836,28.26763916015625
Germany,19.04657936096191,17.99678039550781,17.79762077331543,18.19277954101563,19.0536003112793,19.55878067016602,21.12886047363281,23.21276092529297,25.92234039306641,29.1299991607666,29.50268936157227,30.96319007873535,31.93804931640625,,,42.42098999023438,41.40155029296875,42.05661010742188,41.00622177124023,47.52373123168945,43.17507934570313,47.99153137207031,47.15779876708984
Japan,,,,,,,,,,,,,,46.21866989135742,47.24505996704102,46.44094848632813,47.97261810302734,47.16423034667969,46.18473052978516,46.93613052368164,46.07595062255859,47.39089965820313,48.8248405456543
Kenya,1.822190046310425,2.588449954986572,,,,,,,,,,,,,,,,,,0.0,,,
United States,25.6,26.2,26.7,27.2,27.7,27.7,28.0,28.7,29.4,29.5,29.9,30.4,30.9,31.7,32.0,32.5,33.4,34.2,35.0,36.0,37.5,37.9,37.7
