,geoUnit,year,GraduationRate,Spending
0,ABW,2000,6.718599796295166,13.04314994812012
1,ABW,2001,5.989850044250488,19.22216033935547
2,ABW,2002,5.070119857788086,26.53137969970703
3,ABW,2004,3.621730089187622,26.23996925354004
4,ABW,2005,3.57834005355835,23.82220077514648
5,ABW,2012,12.34887981414795,51.03612899780273
6,ABW,2014,14.87018013000488,96.58502960205078
7,ALB,2013,39.67942810058594,12.850830078125
8,ALB,2015,38.47576141357422,12.88117027282715
9,ALB,2016,37.4388313293457,14.64597034454346
10,ALB,2017,42.35031890869141,13.79123973846436
11,ALB,2019,44.08921051025391,15.06488990783691
12,ALB,2022,40.93114852905273,12.7070198059082
13,AND,2004,0.3401400148868561,17.81657028198242
14,AND,2005,0.3092800080776215,14.90707969665527
15,AND,2006,0.3030300140380859,29.76523017883301
16,AND,2013,10.69011974334717,15.25562953948975
17,AND,2014,8.469949722290039,26.86141967773438
18,AND,2015,4.533679962158203,25.71867942810059
19,AND,2016,8.149169921875,25.26083946228027
20,AND,2017,5.726260185241699,22.84880065917969
21,AND,2018,10.58065032958984,21.84196090698242
22,AND,2019,9.189189910888672,16.03462982177734
23,AND,2022,8.262709617614746,6.615640163421631
24,AND,2023,12.94248008728027,3.604579925537109
25,ARG,2001,9.51768970489502,16.17670059204102
26,ARG,2002,7.969880104064941,13.11384963989258
27,ARG,2003,11.42971038818359,10.41644954681396
28,ARG,2004,11.9284496307373,10.94108963012695
29,ARG,2006,13.34195995330811,13.12948036193848
30,ARG,2007,11.24059009552002,14.29386043548584
31,ARG,2008,11.75566005706787,15.05228996276855
32,ARG,2009,12.22733974456787,17.74172019958496
33,ARG,2018,7.776169776916504,15.54129028320313
34,ARG,2019,19.08396911621094,13.32071971893311
35,ARG,2020,16.98501968383789,14.00506019592285
36,ARG,2021,12.73134994506836,11.28847980499268
37,ARG,2022,28.26763916015625,12.04526042938232
38,ARM,2008,29.36882019042969,7.558990001678467
39,ARM,2009,44.47756958007813,7.288790225982666
40,ARM,2010,40.75677108764648,7.634389877319336
41,ARM,2011,42.02735900878906,7.350659847259521
42,ARM,2012,44.45275115966797,6.324830055236816
43,ARM,2013,42.00880813598633,6.886350154876709
44,ARM,2014,38.95338821411133,7.822999954223633
45,ARM,2015,39.16431045532227,9.681159973144531
46,ARM,2016,28.34762001037598,9.531749725341797
47,ARM,2017,46.64886093139648,9.56956958770752
48,ARM,2020,46.42601013183594,9.889730453491213
49,ARM,2021,47.15233993530273,8.935999870300293
50,ARM,2022,47.88148880004883,7.342100143432617
51,ARM,2023,34.4332389831543,6.523590087890625
52,ATG,2009,1.50970995426178,13.32349967956543
53,AUS,2020,63.56443023681641,17.32777976989746
54,AUS,2021,73.10265350341797,17.24962997436523
55,AUT,2013,37.77315902709961,36.28273010253906
56,AUT,2014,34.54462814331055,35.81111907958984
57,AUT,2015,34.52555847167969,35.98379135131836
58,AUT,2016,34.5937385559082,36.09766006469727
59,AUT,2018,32.87371063232422,35.11085891723633
60,AUT,2019,35.10353851318359,36.28364944458008
61,AUT,2020,37.32159042358398,38.80294036865234
62,AUT,2021,41.13825988769531,37.83298873901367
63,AZE,2008,14.88978004455566,13.4505500793457
64,AZE,2009,15.90569019317627,22.34630012512207
65,AZE,2010,16.50534057617188,19.55726051330566
66,AZE,2011,15.55315971374512,18.04833030700684
67,AZE,2015,15.60004997253418,17.88006973266602
68,AZE,2016,16.75246047973633,23.31199073791504
69,AZE,2017,18.25196075439453,19.39113998413086
70,AZE,2018,20.17341041564941,22.28512001037598
71,AZE,2019,21.03659057617188,25.25136947631836
72,AZE,2020,24.39203071594238,34.58927917480469
73,AZE,2021,26.12410926818848,23.65991020202637
74,AZE,2022,28.11735916137695,22.93321990966797
75,BDI,2001,0.5187600255012512,828.9660034179688
76,BDI,2004,0.5218200087547302,310.4105834960938
77,BDI,2013,3.276289939880371,401.08740234375
78,BEL,2010,19.68412971496582,34.93001937866211
79,BEL,2011,18.12587928771973,33.74328994750977
80,BEL,2012,18.35041046142578,33.61991882324219
81,BEL,2013,43.27167892456055,32.76776885986328
82,BEL,2014,44.0064582824707,33.44944000244141
83,BEL,2016,28.70421981811523,31.7292594909668
84,BEL,2017,30.62311935424805,31.9290599822998
85,BEL,2018,50.50418853759766,32.98160171508789
86,BEL,2019,48.88864135742188,33.85815811157227
87,BEL,2020,54.52816009521484,35.3472900390625
88,BEL,2021,51.35343933105469,32.47341918945313
89,BGD,2002,4.612020015716553,34.58840179443359
90,BGD,2003,4.785099983215332,28.82460021972656
91,BGD,2008,5.418869972229004,30.31627082824707
92,BGD,2009,4.987619876861572,24.0203800201416
93,BGR,2001,16.00349044799805,17.39253997802734
94,BGR,2002,25.75461006164551,17.65480995178223
95,BGR,2003,25.79165077209473,26.33230972290039
96,BGR,2004,25.44495010375977,25.04018020629883
97,BGR,2005,24.48111915588379,22.27832984924316
98,BGR,2007,24.83912086486816,17.48796081542969
99,BGR,2008,28.09547996520996,23.02840995788574
100,BGR,2009,29.16095924377441,23.84546089172363
101,BGR,2010,29.42793083190918,14.29001045227051
102,BGR,2011,32.54587936401367,14.89253997802734
103,BGR,2012,33.85681915283203,15.35921955108643
104,BGR,2013,47.04756164550781,16.06461906433105
105,BGR,2017,52.63785934448242,22.40319061279297
106,BGR,2018,53.7347412109375,22.01914978027344
107,BGR,2019,57.759521484375,23.69734001159668
108,BGR,2020,53.77499008178711,24.50275993347168
109,BGR,2021,58.05118942260742,24.70743942260742
110,BIH,2018,40.6361198425293,26.19409942626953
