geoUnit,2010,2011,2012,2013,2014,2015
Argentina,5.019710063934326,5.290629863739014,5.345829963684082,5.436610221862793,5.361440181732178,5.776110172271729
Germany,5.095880031585693,4.984250068664551,4.928440093994141,4.935389995574951,4.921020030975342,4.85515022277832
Japan,3.599519968032837,3.605279922485352,3.419450044631958,3.408750057220459,3.415299892425537,3.312210083007813
Kenya,4.815489768981934,4.700129985809326,4.931210041046143,4.837210178375244,4.717299938201904,4.949451243813329
United States,6.69455560926907,6.49768505534553,6.25388905466056,6.21154663542779,6.09982039541405,4.930630207061768
